,unidad_academica,nro_inscripcion,carrera,regular,cnt_readmisiones,calidad,anio_plan_estudios,fecha_ingreso_alumno
0,FCEQN,FCEQN-877,143,S,1.0,A,2000.0,04/27/2006
1,FCEQN,FCEQN-1294,102,N,2.0,A,2005.0,06/13/2006
2,FCEQN,FCEQN-1351,102,N,2.0,P,2012.0,06/13/2006
3,FCEQN,FCEQN-1363,114,N,2.0,A,2000.0,06/13/2006
4,FCEQN,FCEQN-1367,102,S,1.0,A,2012.0,03/01/2001
5,FCEQN,1527,106,N,0.0,P,2009.0,05/02/2006
6,FCEQN,FCEQN-1532,170,S,0.0,A,2012.0,03/01/2001
7,FCEQN,FCEQN-1618,102,N,1.0,P,2000.0,05/15/2006
8,FCEQN,FCEQN-1647,104,S,2.0,A,2011.0,06/13/2006
9,FCEQN,FCEQN-1665,102,S,0.0,P,2014.0,12/18/2006
10,FCEQN,FCEQN-1751,147,S,0.0,A,2006.0,12/21/2006
11,FCEQN,FCEQN-1549,104,N,0.0,P,2007.0,12/21/2006
12,FCEQN,FCEQN-1829,172,N,0.0,A,2003.0,12/26/2006
13,FCEQN,FCEQN-826,601,N,1.0,A,2007.0,12/18/2006
14,FCEQN,FCEQN-2150,147,S,0.0,A,2004.0,12/18/2006
15,FCEQN,1767,102,N,2.0,P,2011.0,12/04/2006
16,FCEQN,FCEQN-1056,172,N,2.0,P,2014.0,12/04/2006
17,FCEQN,5200,114,N,0.0,P,2000.0,12/06/2006
18,FCEQN,1576,102,S,2.0,A,2008.0,12/06/2006
19,FCEQN,FCEQN-1283,102,S,0.0,P,2003.0,02/04/2007
20,FCEQN,FCEQN-600,104,N,1.0,A,2011.0,02/04/2007
21,FCEQN,FCEQN-1431,147,N,2.0,A,2000.0,08/07/2005
22,FCEQN,FCEQN-888,102,N,1.0,P,2010.0,02/19/2007
23,FCEQN,FCEQN-758,102,S,1.0,P,2011.0,02/19/2007
24,FCEQN,FCEQN-1181,172,S,1.0,A,,02/25/2007
25,FCEQN,1666,102,S,1.0,A,2004.0,08/07/2005
26,FCEQN,1451,104,N,0.0,P,2000.0,05/02/2006
27,FCEQN,5107,114,S,1.0,P,2005.0,04/26/2005
28,FCEQN,350,108,S,2.0,A,2010.0,06/13/2006
29,FCEQN,FCEQN-2318,143,S,1.0,P,,04/27/2006
30,FCEQN,FCEQN-2411,104,N,1.0,P,2010.0,04/27/2006
31,FCEQN,FCEQN-2546,147,N,1.0,P,2006.0,06/13/2006
32,FCEQN,FCEQN-2645,102,N,1.0,P,2009.0,05/15/2006
33,FCEQN,4772,106,N,0.0,P,2006.0,03/01/2001
34,FCEQN,FCEQN-3005,147,N,0.0,P,2008.0,04/26/2005
35,FCEQN,FCEQN-3034,102,N,0.0,P,2004.0,06/13/2006
36,FCEQN,FCEQN-3036,101,N,2.0,A,2010.0,06/13/2006
37,FCEQN,FCEQN-3162,143,S,1.0,P,2012.0,04/24/2005
38,FCEQN,FCEQN-3240,101,S,1.0,A,2003.0,02/07/2007
39,FCEQN,FCEQN-895,104,S,1.0,P,2014.0,12/06/2006
40,FCEQN,FCEQN-1810,105,N,2.0,P,2007.0,02/25/2007
41,FCEQN,FCEQN-1992,147,S,1.0,A,2005.0,02/08/2007
42,FCEQN,FCEQN-1777,147,S,1.0,A,2004.0,05/11/2006
43,FCEQN,1764,102,S,1.0,A,2011.0,12/18/2007
44,FCEQN,FCEQN-2270,143,S,2.0,P,2003.0,12/19/2007
45,FCEQN,FCEQN-1213,172,S,2.0,P,2005.0,02/04/2007
46,FCEQN,FCEQN-1963,101,S,2.0,P,,12/06/2006
47,FCEQN,FCEQN-1165,101,S,0.0,A,2011.0,04/27/2006
48,FCEQN,1772,102,S,1.0,A,2005.0,05/02/2006
49,FCEQN,FCEQN-3296,147,S,2.0,P,2005.0,08/07/2005
50,FCEQN,FCEQN-3384,147,S,1.0,P,2000.0,05/15/2006
51,FCEQN,FCEQN-3400,102,S,2.0,A,2008.0,06/13/2006
52,FCEQN,FCEQN-3456,104,S,1.0,P,2000.0,08/07/2005
53,FCEQN,FCEQN-3467,106,S,1.0,A,,02/08/2007
54,FCEQN,FCEQN-3511,104,N,0.0,P,2007.0,12/21/2006
55,FCEQN,FCEQN-3529,172,N,1.0,P,2010.0,02/07/2007
56,FCEQN,FCEQN-3578,172,N,2.0,A,2011.0,12/06/2006
57,FCEQN,FCEQN-3607,170,S,1.0,P,2007.0,12/06/2006
58,FCEQN,FCEQN-3657,102,S,1.0,P,2004.0,02/25/2007
59,FCEQN,FCEQN-3760,170,N,1.0,P,2006.0,03/01/2001
60,FCEQN,5853,111,N,2.0,A,2004.0,03/01/2001
61,FCEQN,FCEQN-3781,102,N,2.0,A,2010.0,12/04/2006
62,FCEQN,FCEQN-3786,143,N,1.0,P,2008.0,12/04/2006
63,FCEQN,FCEQN-1236,101,S,1.0,A,2000.0,04/18/2005
64,FCEQN,FCEQN-3866,101,N,0.0,P,2006.0,06/13/2006
65,FCEQN,981,103,S,0.0,A,2008.0,05/11/2006
66,FCEQN,1711,102,N,2.0,P,2000.0,12/01/2008
67,FCEQN,3260,104,S,0.0,A,2005.0,12/04/2008
68,FCEQN,5222,170,S,1.0,P,2004.0,12/09/2008
69,FCEQN,5060,105,N,2.0,P,2003.0,12/16/2008
70,FCEQN,FCEQN-3993,143,S,1.0,A,2008.0,12/16/2008
71,FCEQN,459,104,N,0.0,A,,02/17/2009
72,FCEQN,840,103,S,2.0,A,2008.0,02/17/2009
73,FCEQN,1488,105,N,1.0,A,2008.0,02/17/2009
74,FCEQN,1822,114,S,1.0,A,2012.0,02/17/2009
75,FCEQN,3428,104,S,0.0,P,2000.0,02/17/2009
76,FCEQN,3682,172,S,2.0,P,2000.0,03/05/2009
77,FCEQN,4305,111,N,2.0,A,2005.0,02/17/2009
78,FCEQN,4865,101,S,1.0,P,2006.0,05/11/2006
79,FCEQN,6068,114,S,2.0,P,2004.0,06/13/2006
80,FCEQN,6816,111,N,1.0,P,,05/15/2006
81,FCEQN,FCEQN-2395,170,S,0.0,A,2000.0,05/15/2006
82,FCEQN,FCEQN-1371,108,S,1.0,P,2010.0,12/06/2006
83,FCEQN,FCEQN-2443,102,S,0.0,P,2006.0,02/04/2007
84,FCEQN,FCEQN-2771,102,N,1.0,P,2011.0,08/07/2005
85,FCEQN,FCEQN-731,102,S,1.0,P,2000.0,02/17/2009
86,FCEQN,FCEQN-2931,102,S,2.0,P,2010.0,02/04/2007
87,FCEQN,1674,104,N,2.0,P,2010.0,12/04/2006
88,FCEQN,1736,104,S,0.0,A,,04/26/2005
89,FCEQN,FCEQN-2941,170,N,2.0,P,2006.0,12/18/2006
90,FCEQN,FCEQN-1681,170,S,1.0,A,2010.0,03/05/2009
91,FCEQN,1687,104,N,1.0,P,2014.0,03/05/2009
92,FCEQN,FCEQN-2615,102,S,1.0,A,2014.0,02/07/2007
93,FCEQN,944,102,N,1.0,P,2006.0,12/21/2006
94,FCEQN,1024,114,S,2.0,P,2011.0,03/01/2001
95,FCEQN,FCEQN-2296,102,S,0.0,A,2005.0,12/19/2007
96,FCEQN,1439,104,N,1.0,P,,12/18/2007
97,FCEQN,1382,102,N,1.0,A,2005.0,12/04/2006
98,FCEQN,FCEQN-2777,105,S,1.0,A,2004.0,12/18/2006
99,FCEQN,FCEQN-3390,102,S,1.0,P,2009.0,04/18/2005
100,FCEQN,FCEQN-1755,102,S,0.0,A,2006.0,12/26/2006
101,FCEQN,FCEQN-2369,102,S,2.0,A,2000.0,05/02/2006
102,FCEQN,FCEQN-1116,104,N,0.0,P,2014.0,04/18/2005
103,FCEQN,FCEQN-778,147,S,1.0,P,2008.0,02/08/2007
104,FCEQN,FCEQN-1168,105,N,2.0,P,2006.0,04/24/2005
105,FCEQN,2920,114,N,0.0,A,2014.0,04/27/2006
106,FCEQN,FCEQN-337,143,S,2.0,P,2003.0,10/07/2009
107,FCEQN,6960,111,S,1.0,A,2009.0,12/21/2006
108,FCEQN,5689,103,N,1.0,P,2011.0,12/14/1999
109,FCEQN,FCEQN-941,143,S,2.0,P,2010.0,04/26/2005
110,FCEQN,FCEQN-3342,170,S,2.0,P,2014.0,06/13/2006
111,FCEQN,FCEQN-3367,143,N,1.0,P,2014.0,06/13/2006
112,FCEQN,FCEQN-3379,170,N,1.0,P,2012.0,12/02/2007
113,FCEQN,FCEQN-3406,104,S,1.0,P,2003.0,02/08/1996
114,FCEQN,FCEQN-3730,147,S,1.0,A,2008.0,03/18/2010
115,FCEQN,FCEQN-1434,102,N,0.0,P,2014.0,03/28/2010
116,FCEQN,FCEQN-2309,104,S,1.0,P,2010.0,03/29/2010
117,FCEQN,FCEQN-4149,170,S,1.0,P,2010.0,03/29/2010
118,FCEQN,FCEQN-4182,102,N,2.0,P,2011.0,03/29/2010
119,FCEQN,FCEQN-4192,172,S,1.0,A,2007.0,03/29/2010
120,FCEQN,FCEQN-4204,102,S,1.0,A,2011.0,02/04/1998
121,FCEQN,FCEQN-4242,102,S,0.0,A,2003.0,04/04/2010
122,FCEQN,FCEQN-4250,101,S,1.0,P,2010.0,04/04/2010
123,FCEQN,FCEQN-4269,147,S,1.0,A,2011.0,04/05/2010
124,FCEQN,FCEQN-4284,105,N,1.0,P,,04/05/2010
125,FCEQN,FCEQN-4303,101,S,2.0,A,2003.0,04/05/2010
126,FCEQN,FCEQN-4340,147,S,0.0,A,2005.0,04/05/2010
127,FCEQN,FCEQN-4359,106,N,0.0,A,2003.0,04/05/2010
128,FCEQN,FCEQN-4371,101,N,2.0,P,,04/05/2010
129,FCEQN,FCEQN-4379,172,N,1.0,P,2009.0,04/06/2010
130,FCEQN,FCEQN-4392,170,S,0.0,A,2011.0,04/06/2010
131,FCEQN,FCEQN-4411,104,S,1.0,A,2004.0,04/07/2010
132,FCEQN,FCEQN-4455,106,S,1.0,P,2004.0,04/07/2010
133,FCEQN,FCEQN-4463,102,N,1.0,A,2011.0,04/08/2010
134,FCEQN,FCEQN-4551,102,S,1.0,P,2009.0,04/11/2010
135,FCEQN,5849,111,S,2.0,A,2006.0,04/11/2010
136,FCEQN,FCEQN-4593,106,N,1.0,P,2011.0,04/11/2010
137,FCEQN,FCEQN-4631,101,S,1.0,A,2003.0,04/13/2010
138,FCEQN,FCEQN-4690,172,S,2.0,P,2012.0,04/14/2010
139,FCEQN,FCEQN-4700,105,N,1.0,P,2008.0,02/19/2004
140,FCEQN,FCEQN-4711,SAC,S,1.0,A,2012.0,09/08/2010
141,FCEQN,FCEQN-4749,101,N,1.0,A,2007.0,12/16/2010
142,FCEQN,FCEQN-4751,101,N,1.0,P,2012.0,12/16/2010
143,FCEQN,FCEQN-4864,143,S,0.0,A,2006.0,02/10/2011
144,FCEQN,FCEQN-4867,172,N,1.0,P,2004.0,02/10/2011
145,FCEQN,FCEQN-4870,147,N,2.0,P,2009.0,04/26/2005
146,FCEQN,FCEQN-4902,143,S,1.0,P,,08/07/2005
147,FCEQN,FCEQN-4904,170,N,2.0,P,2010.0,04/20/2011
