ds,y
1/5/2017,263704.47
1/6/2017,194188.96
1/9/2017,115950.68
1/17/2017,192320.24
1/23/2017,156299.32
1/24/2017,151415.56
1/25/2017,163022.46
1/31/2017,120368.87
2/1/2017,151787.68
2/2/2017,202827.07
2/3/2017,188495.96
2/8/2017,191281.48
2/9/2017,55786.88
2/10/2017,273691.93
2/16/2017,235118.02
2/17/2017,127631.81
2/27/2017,166202.87
2/28/2017,10008.32
3/6/2017,291275.45
3/7/2017,233414.86
3/8/2017,204155.69
3/13/2017,584613.64
3/15/2017,251903.84
3/16/2017,238994.47
3/22/2017,236384.17
3/23/2017,328724.4
3/24/2017,94321.09
3/30/2017,293841.8
3/31/2017,255231.22
4/7/2017,172480.13
4/10/2017,125975.93
4/11/2017,137576.83
4/17/2017,254577.45
4/18/2017,107822.96
4/19/2017,251618.92
4/24/2017,254600.65
4/25/2017,134800.43
4/26/2017,147884.74
4/27/2017,310655.24
5/2/2017,152737.6
5/3/2017,353136.83
5/4/2017,192731.24
5/5/2017,155543.42
5/11/2017,113821.58
5/12/2017,293532.44
5/19/2017,190147.43
5/22/2017,306438.62
5/30/2017,437155.52
5/31/2017,85878.6
6/5/2017,393801.33
6/6/2017,161453.68
6/7/2017,216833.94
6/8/2017,281086.65
6/13/2017,175128.84
6/14/2017,230605.8
6/15/2017,376471.86
6/16/2017,307425.61
6/22/2017,128438.06
6/23/2017,373167.29
6/30/2017,212985.22
7/3/2017,61980.82
7/10/2017,121456.59
7/11/2017,278570.35
7/17/2017,281611.24
7/18/2017,276812.33
7/19/2017,222341.33
7/20/2017,77888.04
7/25/2017,3699.36
7/26/2017,382034.01
7/27/2017,344719.69
7/28/2017,157597.26
8/2/2017,353247.69
8/3/2017,113240.27
8/4/2017,343288.85
8/11/2017,229857.13
8/14/2017,141985.36
8/21/2017,149054.89
8/22/2017,145841.2
8/28/2017,275051.34
8/29/2017,112905.61
8/30/2017,381021.38
8/31/2017,111548.06
9/5/2017,377511.39
9/6/2017,257968.98
9/7/2017,144968.59
9/8/2017,468927.23
9/13/2017,302914.43
9/14/2017,87319.69
9/15/2017,222484.9
9/21/2017,128867.12
9/22/2017,121727.37
9/25/2017,287743.91
10/2/2017,258291.67
10/3/2017,84792.09
10/9/2017,130486.3
10/10/2017,132389.51
10/11/2017,205815.15
10/17/2017,257732.1
10/18/2017,139446.06
10/19/2017,343336.42
10/20/2017,108569.41
10/25/2017,172095.42
10/26/2017,90720.41
10/27/2017,317312.32
11/2/2017,176279.09
11/3/2017,105650.46
11/13/2017,242401.96
11/14/2017,137223.88
11/20/2017,165684.91
11/21/2017,166431.55
11/22/2017,228301.81
11/27/2017,228741.77
11/28/2017,96242.06
11/29/2017,88702.96
11/30/2017,330881.98
12/1/2017,105964.58
12/6/2017,145416.61
12/7/2017,243697.25
12/8/2017,133133.08
12/14/2017,205475.31
12/15/2017,382282.8
12/22/2017,309963.54
12/26/2017,208627.4
1/2/2018,240656.64
1/3/2018,92276.04
1/8/2018,221319.12
1/9/2018,210286.39
